,City of Folsom,City of Redding,City of Roseville,City of West Sacramento,Yuba City,El Dorado Irrigation District,Napa County Flood Control & Water Conservation District,Placer County Water Agency,Sacramento County Water Agency,San Juan Water District,Shasta Contractors,Solano County Water Agency,City of Avenal,City of Coalinga,City of Fresno,City of Huron,City of Lindsay,City of Orange Cove,City of Tracy,Kern County Water Agency,Other Friant-Kern M&I Contractors,Stockton-East Water District,"Alameda County Flood Control and Water Conservation District, Zone 7",Alameda County Water District,Contra Costa Water District,East Bay Municipal Utilities District,"San Benito County Water District, Zone 6",Santa Clara Valley Water District,San Luis Obispo County Flood Control & Water Conservation District,Santa Barbara County Flood Control & Water Conservation District,Antelope Valley-East Kern Water Agency,Santa Clarita Valley Water Agency,Coachella Valley Water District,Crestline-Lake Arrowhead Water Agency,Desert Water Agency,Metropolitan Water District of Southern California,Mojave Water Agency,Palmdale Water District & Littlerock Creek Irrigation District,San Bernardino Valley Municipal Water District,San Gabriel Valley Municipal Water District,San Gorgonio Pass Water Agency,Ventura County Watershed Protection District
1962,83303.87354367043,323891.10113485897,380987.31898880855,188286.2226156185,55656.61684255114,90009.2473812474,334323.31776465126,416741.9702257072,522251.10467608424,288249.9286475538,123753.17089370586,274392.2005847316,274392.2005847316,124809.04243152653,104007.53535960545,31202.26060788163,31185.419441260427,17463.834887105837,152143.33388497826,1116300.483711191,36499.41491405121,844308.1958211893,620651.7989642383,298076.7372263683,1679100.9046997938,0.0,381510.9528769212,2260862.2143907617,0.0,0.0,975673.2115981367,469012.3620124656,917384.8511333165,36878.28434746301,375073.70705942455,14216969.937122462,529868.960619296,165434.97955828396,818045.9717914219,239221.5765508489,129590.00580334633,165084.27563822543
1963,77842.28473225217,322570.4949111461,356508.5521426449,149116.88557494275,57347.56889875156,90368.14727720215,358388.6727339649,390075.1816937009,482546.5952414541,270107.2811589922,122291.94248211343,527844.2444260836,527844.2444260836,141297.2013258103,117747.6677715086,35324.30033145258,32039.86405803232,17942.323872498095,190899.81306878416,830295.9942947873,37499.456893521026,899331.341280674,522664.9723888987,256563.65721783924,1529245.2786639528,0.0,468113.12359347317,2402938.8057219405,0.0,0.0,948311.2836146563,564259.9638992079,923249.5813297139,35720.287955624604,365703.0110216817,14809879.537935385,550130.7151992989,141047.48387346748,668687.468263061,178321.4836766447,117560.15539253068,122959.60267245513
1964,68237.31194384671,309060.83223374316,311086.6537546387,213090.39188590922,53800.47507784355,72791.58294238613,348500.5275418199,340063.9165050318,436705.6486841848,234612.429122597,98803.8998488361,525798.1907086927,525798.1907086927,116598.5276673441,97165.43972278674,29149.631916836024,28457.1152378377,15935.984533189112,130390.09342574482,896700.589685851,33306.20767436525,55023.14545948467,524716.7199588069,256775.5510126192,1700967.0690621047,0.0,333624.7117173176,2034334.6018408015,0.0,0.0,908804.640751872,457672.8170675623,885067.0115903438,34612.82357216598,362545.25945037935,12942397.70729022,475662.7376148657,125656.15689731849,674583.7281322887,191967.40360637178,112367.85777002033,132185.84852094366
1965,80612.69448782905,322503.133355516,369333.869119845,192725.6531683447,57378.256124353065,87719.19006397041,363394.53718814184,404138.003757321,517142.0212930867,279927.8772530445,122600.6314511908,319949.63671677577,319949.63671677577,137940.55681462673,114950.46401218895,34485.13920365668,31840.388646701802,17830.617642153007,199519.93180465215,908483.6193288512,37265.99087209979,844308.1958211893,543704.9540393201,284971.5606819277,1571887.474557786,0.0,482518.37329001864,2375255.1547185495,0.0,0.0,978333.7020132059,558391.331390724,933559.7744285965,39263.31176647627,375555.02985473076,12652428.379109658,580239.0109121294,144964.00049510805,691376.9785178687,194045.09507609246,116473.08791814686,134212.15486786515
1966,83963.70405647547,323607.9325103049,383701.0554994536,213234.154920382,55624.67991092966,90435.31376542781,338301.6059891186,419643.9309727272,537856.5904683202,290073.3235890523,124044.55121787029,527969.4283911325,527969.4283911325,133073.60237349992,110894.66864458327,33268.40059337498,32435.425356983207,18163.838199910595,161896.0505803699,1362589.977417039,37962.42183781315,712037.200746855,704552.3865268318,353030.47157398594,1613235.3653785612,0.0,406149.1906456154,2520119.084428281,0.0,0.0,889096.8207803383,403129.72708434897,749165.1926449506,33833.953286948534,300748.17216744437,15105401.750690619,558894.4799308283,229324.59139996325,952065.6384773833,290720.121074527,136641.8532379918,202746.95418548473
1967,83883.4221698255,322669.4635783826,383269.2874521922,150360.85880535722,57347.56889875155,90287.60149857789,344253.1623492222,419157.5156484581,537856.5904683202,289697.82875989546,123229.29255487965,527844.2444260836,527844.2444260836,142882.00230555618,119068.33525463016,35720.500576389044,31305.55079561818,17531.10844554618,236687.57481605405,1187218.4620589628,36640.016651191516,899331.341280674,696341.9489630725,321522.9879019838,1529245.2786639528,0.0,558053.794284272,2700688.8876724355,0.0,0.0,1033151.3280474066,502932.9517755419,952822.4722580219,37410.54224504293,383333.14949806995,15102551.097638438,575531.6961802302,175424.79359647937,931636.8127550823,253591.14366840196,146450.4304410595,175789.54316999073
1968,83794.50575901994,324248.44484053866,383002.7653630028,191494.7057357007,55520.13337216205,90323.7731380964,367041.43455204833,418896.6160249535,537641.1500914228,289602.09918576333,124237.37412152166,526608.8945287112,526608.8945287112,138030.05470677576,115025.0455889798,34507.51367669394,26128.60966997502,14632.021415186011,170734.86586753684,1360063.082241786,30580.924757738765,55023.14545948467,730069.9307699783,374702.03276422416,1610521.4730432215,0.0,426726.77806893573,2792833.439565466,0.0,0.0,1116837.8110524327,497292.2737024904,901866.2199097441,38873.1746071524,362647.6946492621,16048376.26787892,616775.1489121713,222295.93682582388,970436.0543713855,290545.83164217055,145388.8255222146,202340.97557406095
1969,83955.80481499506,323704.8477927275,383658.57717973663,187491.39348765914,57347.56889875155,90420.78018746515,337226.6664565826,419596.0686528174,537856.5904683202,290036.38393674133,124007.83274472452,533251.8003424853,533251.8003424853,143301.14706712557,119417.62255593798,35825.28676678139,30951.422234972364,17332.796451584523,237280.29625892208,1466322.7416020392,36225.54458381166,844308.1958211893,877388.1399708366,479004.8181799697,1529245.2786639528,0.0,559493.7014690657,3117296.308409322,0.0,0.0,1859952.9345355532,859135.3160449481,1637256.957007751,61338.399651700616,658332.4115420541,19727145.524774358,913141.2380307608,233121.1246573879,1109274.9740240665,312828.9543771022,185590.0466529579,478574.49957499094
1970,83824.67775450482,323712.6536714836,383138.7121641292,196254.89501364183,57346.31919273157,90354.45161208033,366244.0919560077,419044.8771409255,536934.1155383901,289703.41941905103,123814.11304085626,573465.68696373,573465.68696373,129324.32350550761,107770.26958792302,32331.080876376902,32769.368064532166,18350.84611613801,189150.17451937983,1331029.597593138,38353.26838272845,899331.341280674,765986.5208224807,399181.03299644735,1506021.9352365534,0.0,388531.41371407046,2643984.1619574283,0.0,0.0,1278612.9718900798,605841.9333691413,1075161.8619335545,45007.994165126904,432034.83640306944,16988663.638710216,691111.3642833193,211742.871047712,1002930.9201261685,283890.8147475983,156397.36508906537,198084.47484306304
1971,83979.77729958021,323436.12821574486,383787.4996558599,206046.0519159254,57346.31919273157,90464.88628666352,366244.0919560077,419741.3141281911,537856.5904683202,290148.5038694077,123734.08955863368,573465.68696373,573465.68696373,137373.3440904625,114477.78674205208,34343.33602261562,32051.4363300761,17948.804344842614,169384.09240256037,831286.7412035593,37513.00108072107,899331.341280674,592605.8845136942,329416.61431311886,1506021.9352365534,0.0,423651.7127891894,2440619.47646113,0.0,0.0,1200251.5764386167,706601.7866663204,1164225.1475710596,45762.57397410187,462265.3073361355,14257218.27477604,697627.3702771995,120262.19268594623,704408.4470077782,177859.38577553243,142102.41181103006,123179.21773722282
1972,83052.6728077427,323096.5143350136,379593.08619644534,207829.5770131474,55520.13337216205,89506.25682300601,367041.43455204833,415163.250359373,543000.2629376814,287009.5926116383,122852.23067806168,526608.8945287116,526608.8945287116,127547.3595316758,106289.4662763965,31886.83988291895,29327.27552430557,16423.274293611117,150573.67992211305,732847.6624815103,34324.64327364724,55023.14545948467,448355.83313084097,235124.36490412138,1610521.4730432215,0.0,380358.62961729564,2065284.0617857075,0.0,0.0,801082.853858578,453939.465665356,763847.8486519165,32389.45335932493,308068.86239697103,12878045.426097158,476983.90571239043,117454.70601503187,563198.5103314148,156952.17101288808,95142.68427810873,108224.62996841682
1973,83969.04147812595,324178.64112410287,383729.75935207825,185490.91227747302,57347.56889875155,90445.13192578936,371518.8744051084,419676.2630152319,527909.5559669114,290098.2901149773,124235.55344197838,507915.63953061326,507915.63953061326,140940.20104879152,117450.1675406596,35235.05026219788,31786.285707649127,17800.31999628351,196856.39331404024,1320790.0616409238,37202.668792232536,844308.1958211893,678766.5981292749,337386.5751963259,1601680.0865620484,0.0,479424.2082798263,2776003.6713106306,0.0,0.0,938380.9739266151,349223.8833784677,708800.1396173502,30776.06179254811,286445.9864316831,15375266.859175494,497029.9924937781,214650.77467448812,917320.5821082453,281687.23816255404,130884.90260618116,196692.9930674127
1974,83957.00287081861,323526.82292906864,383665.01219351584,162694.53472456828,57346.31919273157,90422.98234314962,349603.9117881524,419603.3260157657,537856.5904683202,290041.981347303,123593.88264699868,553835.9680986087,553835.9680986087,143841.17280371542,119867.6440030962,35960.293200928856,32013.56343975101,17927.595526260564,236009.01815126516,1078425.9499212499,37468.67464988458,899331.341280674,701320.2633570563,374738.1246594911,1513298.3784940045,0.0,557400.3545481174,2756458.909240207,0.0,0.0,1548492.0486691804,945599.8268779133,1582018.1420472004,61079.508859854126,636622.1529565058,15091602.898158258,844972.1251681687,144919.58690243564,865654.1649764238,230198.42539297134,163688.08643896377,159728.12952124033
