,Butte County,City of Folsom,City of Redding,City of Roseville,City of West Sacramento,Yuba City,El Dorado Irrigation District,Napa County Flood Control & Water Conservation District,Placer County Water Agency,Sacramento County Water Agency,San Juan Water District,Shasta Contractors,Solano County Water Agency,City of Avenal,City of Coalinga,City of Fresno,City of Huron,City of Lindsay,City of Orange Cove,City of Tracy,Kern County Water Agency,Other Friant-Kern M&I Contractors,Stockton-East Water District,"Alameda County Flood Control and Water Conservation District, Zone 7",Alameda County Water District,Contra Costa Water District,East Bay Municipal Utilities District,"San Benito County Water District, Zone 6",Santa Clara Valley Water District,San Luis Obispo County Flood Control & Water Conservation District,Santa Barbara County Flood Control & Water Conservation District,Antelope Valley-East Kern Water Agency,Santa Clarita Water Division,Coachella Valley Water District,Crestline-Lake Arrowhead Water Agency,Desert Water Agency,Metropolitan Water District of Southern California,Mojave Water Agency,Palmdale Water District & Littlerock Creek Irrigation District,San Bernardino Valley Municipal Water District,San Gabriel Valley Municipal Water District,San Gorgonio Pass Water Agency,Ventura County Watershed Protection District
1962,0.0,345.9485711719204,294.0027685384054,677.5316155928565,247.99913323537487,243.14136159425806,145.21788192132595,493.51608048273073,0.0,638.1576751932164,842.5212439261072,0.0,377.4417753032842,43.140306690476216,125.31231943424044,0.0,36.977405734693896,42.86172661266684,24.00256690309343,197.65375617908677,1275.0592845333465,50.16536482746528,0.0,699.1231225479235,328.1978528771598,2317.7185656933043,3524.523848347644,102.45089284710407,2399.368252924365,181.69814127726733,418.68036321255255,1199.6492911697785,607.7564294010564,1157.2243944436268,44.05686322700402,466.36788660229104,17483.747067922926,635.0053539891219,189.5082819849396,929.5246559434016,273.3462165542459,153.3907371493359,157.78448185675558
1963,0.0,345.9485711719204,294.0027685384054,677.5316155928564,247.99913323537487,243.14136159425806,145.21788192132595,616.850517967367,0.0,638.1576751932164,842.5212439261072,0.0,733.1506411483832,55.6931217644159,161.77525845854143,0.0,47.73696151235649,44.18212070781959,24.741987596378973,310.17723509482914,1272.366156982027,51.71075407643205,0.0,764.9392564678221,401.40826978058374,2124.869412198809,3616.4461709433654,132.89650370502312,2868.918329390621,239.39933427087132,431.9500057979296,1376.2230282463074,786.9041214465469,1310.7237289297655,55.32838489570582,528.1849790553678,18132.420623532085,856.738901934687,224.8895994989261,971.6694111890646,272.2744793262876,163.86542430404998,157.24912159386952
1964,0.0,345.20636264195934,293.57790281535813,676.5309458027468,247.58463946297954,242.6141803068858,145.1093056818397,475.507306903026,0.0,637.1448575805434,841.4393347265045,0.0,728.8185059289086,44.52139774374996,129.3240601127975,0.0,38.16119806607139,38.50624118430689,21.563495063211857,212.62258460514457,1362.5147376877005,45.06770468211279,0.0,809.4049457721549,420.33142535581896,2305.3190168756987,3508.452095337064,105.34033588363317,2533.212504716261,249.19238136916763,460.33342326651547,1453.361743775957,825.3694764736139,1389.5932031946245,57.92150114272873,559.747991969635,19287.216381362727,893.3675175779204,236.93432890942623,1034.9039143153896,291.59673787438055,174.36763868706288,168.55344207471325
1965,0.0,345.9485711719204,294.0027685384054,677.5316155928564,247.99913323537487,243.14136159425806,145.21788192132595,535.7747573633904,0.0,638.1576751932164,842.5212439261072,0.0,441.63707555019244,55.6931217644159,161.77525845854143,0.0,47.73696151235649,43.92111991555907,24.595827152713074,310.75868325422056,923.5499034232283,51.405278749170336,0.0,490.9786833341646,238.22661526241203,2182.803783777133,3595.9124113826233,132.89650370502312,2589.076628879353,138.76559430309243,308.61674836927216,894.3101224156939,534.7850791016946,871.2229660031135,33.217185758490565,344.0508522026638,12480.55343690587,539.5103518004944,149.10330613647892,670.8753591513097,197.67558459686362,111.21080530452548,114.26717580175016
1966,0.0,345.9485711719204,294.0027685384054,677.5316155928564,247.99913323537487,243.14136159425806,145.21788192132595,610.948944921502,0.0,638.1576751932164,842.5212439261072,0.0,735.0515197058563,51.18021833302424,148.66634849116565,0.0,43.86875857116364,44.81525573773002,25.09654321312881,256.11433363744965,1699.2489612534723,52.45177531543922,0.0,865.8511485065164,400.1989522830095,2226.802181277737,3616.4461709433654,121.32642803420096,2947.510146494855,201.69087530392065,500.2191450285803,1173.8371347022965,523.0074027186189,1040.2277797595766,42.98523885040601,516.0133862277967,22444.96145526906,702.3339539088872,306.7351909477944,1190.8499430189613,362.6504822777966,175.49973961393488,212.25598256281688
1967,0.0,345.9485711719204,294.0027685384054,677.5316155928564,247.99913323537487,243.14136159425806,145.21788192132595,616.8583758808884,0.0,638.1576751932164,842.5212439261072,0.0,733.1506411483832,56.53745212225753,164.22783711703377,0.0,48.460673247649304,43.21208813905771,24.19876935787232,323.2586597699817,1789.266155300963,50.57542795795315,0.0,1055.5398124695,549.8893901308338,2124.869412198804,3616.4461709433654,134.60832079370024,3230.5654235074753,319.698413476787,578.6535751083352,1798.7305230768493,1005.977225090388,1679.255772474974,72.59988718364608,676.5203228155801,25174.479875085726,1145.1793236277645,324.86177789142045,1350.3209342877303,382.5197169419648,221.49324041423785,223.1080148301812
1968,0.0,345.20636264195934,293.57790281535813,676.5309458027468,247.58463946297954,242.6141803068858,145.1093056818397,586.1143905149524,0.0,637.1448575805434,841.4393347265045,0.0,729.1009839655205,57.216226192830774,166.1995141791751,0.0,49.04247959385495,36.6112266963328,20.502286949946367,297.9497732411357,1248.2646810572403,42.84977972538791,0.0,849.0704801394025,461.1459390672676,2223.0561058433796,3531.4628904990327,136.07386831174043,3119.421747046667,314.79553297382324,551.641052521991,1992.4639200279594,1242.8079634705477,2063.4408112955016,78.83922514992904,831.3380565518835,19355.85370665268,1125.5237874958812,180.0431719429739,1030.5042994466212,267.18775132340994,202.9021263517669,154.5853027967553
1969,0.0,345.9485711719204,294.0027685384054,677.5316155928564,247.99913323537487,243.14136159425806,145.21788192132595,616.8608348908245,0.0,638.1576751932164,842.5212439261072,0.0,733.1506411483832,57.33105651116289,166.53306891337795,0.0,49.140905580996765,42.74076819554069,23.934830189502787,327.5019705666308,2228.0202885340227,50.02379509606083,0.0,1183.4039688637147,612.9465710532307,2110.8678840786997,3600.607186820534,136.21729503588784,3664.790749954067,302.8415847065075,683.4216021297184,1963.1391939742077,719.6452565290937,1541.5797536599857,60.299282324851035,619.2515192333342,33941.9113081226,1039.7595611862298,426.9940436586171,1648.826418392015,565.3531967197906,228.59393173097087,279.25802043618677
1970,0.0,345.9485711719204,294.0027685384054,677.5316155928564,247.99913323537487,243.14136159425806,145.21788192132595,628.4054265299145,0.0,638.1576751932164,842.5212439261072,0.0,797.9359569859998,57.33105651116289,166.53306891337795,0.0,49.140905580996765,44.96980540918588,25.18309102914409,324.0720401410727,1672.0708667602933,52.63266025091116,0.0,1001.6053462636687,520.4640786548479,2078.8119343329186,3616.4461709433654,136.21729503588784,3354.7875042602413,292.1724119288848,573.2599208310183,1701.702366245197,928.8953977601343,1863.9602417947135,65.46219193478827,749.5825623102987,24759.552081007972,1014.5838383489472,280.6816971166156,1371.452173628725,446.44497790890114,213.19817162475823,208.80514047483007
1971,0.0,345.9485711719204,294.0027685384054,677.5316155928564,247.99913323537487,243.14136159425806,145.21788192132595,626.1798908601285,0.0,638.1576751932164,842.5212439261072,0.0,797.9359569859998,49.19757623810876,142.90724526307784,0.0,42.16935106123608,44.50304465646685,24.921705007621433,244.29956038763967,1012.3811980115667,52.0863634659288,0.0,713.2276168753488,413.2648686626443,2078.811934332921,3616.4461709433654,116.52655302375709,2609.2325797616,280.6801617464178,440.906646793429,1649.9138574875587,1098.9394769522253,1658.3263757261434,68.66440442355152,660.6157758519945,15899.837805660818,1046.6047384259978,177.09175577736116,848.1935110766887,216.4466197685262,165.66518569977754,125.1137456616726
1972,0.0,345.20636264195934,293.57790281535813,676.5309458027468,247.58463946297954,242.6141803068858,145.1093056818397,606.2577114953873,0.0,637.1448575805434,841.4393347265045,0.0,729.1009839655205,48.252087007542514,140.16082416476635,0.0,41.358931720750725,38.60029254057239,21.616163822720537,237.20315831209268,1382.5195430437898,45.17778238948593,0.0,790.4553490907587,381.03181263705267,2223.0561058433755,3609.09548955394,114.76355654959426,2671.3279208202275,219.87846489828826,460.6612957575678,1372.5978545010557,696.3082100890135,1341.8514386019622,51.46883833352818,547.884442048519,19249.31146944472,745.9271982417179,213.75684232254258,1031.0440495666537,296.2065552112183,171.21442907438447,170.98073530803242
1973,0.0,345.9485711719204,294.0027685384054,677.5316155928564,247.99913323537487,243.141361594267,145.21788192132595,613.9399939798548,0.0,638.1576751932164,842.5212439261072,0.0,705.6386998383205,56.307495443879056,163.5598677179344,0.0,48.2635675233249,43.80353192016352,24.52997787529157,299.80226364002965,1579.93184060868,51.26765375935939,0.0,908.2249565737467,470.4373745021188,2210.8520473877325,3616.446170943365,134.1421007081049,3021.664998297956,264.1408353874183,481.96118131940534,1442.3776933191798,781.3480139271339,1307.1498149234665,58.53376221174166,526.0094002596593,21820.581842213265,945.4628481945003,296.5762388893007,1172.8876533208143,337.5564764320357,185.70023213367912,196.3369250504286
1974,0.0,345.9485711719204,294.0027685384054,677.5316155928565,247.99913323537487,243.14136159425806,145.21788192132595,626.4813279233996,0.0,638.1576751932164,842.5212439261072,0.0,769.5923813070425,57.33105651116289,166.53306891337795,0.0,49.140905580996765,44.189381430639656,24.746053601158206,328.1361748657612,1425.899992198809,51.71925202642066,0.0,891.1679130957694,471.7370477432525,2088.8558498491343,3616.4461709433654,136.21729503588784,3115.686788713877,296.35731588406657,533.7084204783588,1783.7671697482142,1057.9956406636197,1765.4900135097769,70.9665406755955,711.3024095102759,20873.865868448403,1060.4928555077686,234.44345353449737,1116.1215162525737,305.0743604228421,199.37319620856496,176.39362154295748
1975,0.0,345.9485711719204,294.0027685384054,677.5316155928564,247.99913323537487,243.14136159425803,145.21788192132595,605.312751105998,0.0,638.1576751932164,842.5212439261072,0.0,770.4240156759371,56.80212717069504,164.99665511487606,0.0,48.68753757488146,44.2329457675601,24.770449629833657,301.9750071926182,1604.8030582295416,51.77023972635235,0.0,922.6890206265903,478.54993345724654,2188.768459013574,3616.4461709433654,134.1406000407234,3033.5210999504934,267.9146612445983,486.05363084592983,1451.9047393223868,784.666796560781,1308.1433018931477,59.13428841017997,526.7166353572759,22162.2754419336,959.2329590557638,303.40340175171525,1191.2122143274037,342.9496052850502,187.87003887003704,199.43001024712683
1976,0.0,324.14396670695623,287.5981125597708,676.2867050914725,247.58463946297954,242.6141803068858,145.1093056818397,374.7087793547709,0.0,564.3446902888661,841.4393347265045,0.0,552.7492264083161,44.52139774374996,129.3240601127975,0.0,38.16119806607139,27.269041955667422,15.270663495173755,187.76127023868597,1250.6133918175885,31.915686704913153,0.0,804.1030757384726,431.37789175188334,2411.727825885173,3383.8231880310477,105.34033588363317,2564.386086196478,276.95273261168694,487.1106307196584,1673.9006443665498,1009.4277086527106,1682.2192373309385,66.9067883744626,677.9198377837115,18641.39583635393,990.867547279785,202.72489404222227,995.9107393690846,267.95683536117957,182.29436423964378,154.6723227381525
1977,0.0,298.0056359670398,264.2387427575673,661.078566268305,247.99913323537487,243.14136159425803,123.82329608425476,194.14372139645707,0.0,388.77651534455947,842.5212439261072,0.0,197.91879465245623,25.399718139710366,73.78013364392058,0.0,21.771186976894597,9.180038825809753,5.140821742453461,76.87582953789398,72.19482592003264,10.744317441727736,0.0,71.08384245055657,35.892063895421984,2570.0350545349993,3119.940406599721,71.42943884880863,1122.7095199175124,21.34041129428403,36.522521236412416,131.16780685472935,77.25124926067578,130.50949401412544,5.022466505356325,52.61621368409607,1737.4288068026199,80.68349797967812,20.493817767585107,94.55747177148652,15.439811928261998,15.86118917833235,8.944507768586856
1978,0.0,338.6602931434722,291.33341235567116,675.8697463397344,247.99913323537487,243.14136159425806,144.29213633213575,463.02010749280265,0.0,613.9732978214792,842.5212439261072,0.0,403.11839832025873,54.05518687566378,157.01744759121385,0.0,46.33301732199753,41.69690577347944,23.35026723314849,305.79145249387835,1934.295881135814,48.80205851728035,0.0,948.3983829351735,428.4257966986752,2221.133438197863,3524.5238483476446,129.5757123741584,3035.515848369705,198.1485224392461,503.77709855479736,1175.1929299815324,496.30086681948194,994.062464529111,42.21418493085866,400.6196961323718,24706.20962703457,727.6280065358334,340.67451559405015,1333.0838760569761,414.31717345740924,189.17842181769362,241.7323609535089
1979,0.0,345.9485711719204,294.0027685384054,677.5316155928564,247.99913323537487,243.14136159425806,145.21788192132593,583.8205504035549,0.0,637.9288579890388,842.5212439261072,0.0,723.3238281135308,56.65238715714099,164.56169602788574,0.0,48.55918899183514,45.010465456978295,25.205860655907845,294.5362410259531,1332.7236004799659,52.6802487708474,0.0,907.1329409412294,492.01470222021464,2226.802181277737,3616.446170943365,133.7106794461564,3165.276175130282,335.4647159685396,590.137494479164,2125.1995126805364,1325.1216502421958,2231.833201891467,84.06728666297357,899.4007769545851,20676.020810595233,1200.1137017275137,191.8661155748221,1101.4765985640015,285.6103150386724,216.89083386087378,164.86241437156102
1980,0.0,345.20636264195934,293.57790281535813,676.5309458027468,247.58463946297954,242.61418030688577,145.1093056818397,610.1453166029188,0.0,637.1448575805434,841.4393347265045,0.0,700.6402498164383,57.216226192830774,166.1995141791751,0.0,49.04247959385495,42.92549346017748,24.038276337699386,327.0413642995528,1866.3562109327484,50.239997545791724,0.0,1012.7569031280403,534.43448602154,2192.9037732062093,3609.09548955394,136.07386831174043,3247.5419404418863,261.8794056193632,557.9813851700874,1468.911734484521,634.9567578439851,1352.1645533947858,53.148132713741674,543.9257808113143,27875.20470117904,916.3658538002846,387.40211697751397,1404.7487471967029,488.5332821983892,194.32000414417274,233.64789110389987
1981,0.0,345.9485711719204,294.0027685384054,677.5316155928564,247.99913323537487,243.14136159425803,145.21788192132595,609.0490776588749,0.0,638.1576751932164,842.5212439261072,0.0,706.7079440268991,51.076756830733316,148.36581746070152,0.0,43.780077283485696,45.40078117086313,25.42443745568335,256.18410824224634,943.0649190187372,53.1370742823782,0.0,713.6586224039203,420.74455515060276,2236.846096793954,3391.1738694204732,120.92711185116131,2704.6297964670885,299.9797290632257,464.0806122197718,1816.0540015478086,1230.172837426128,1874.9610488430217,75.09422564617543,748.3891310629522,15563.089850192862,1112.2469232607364,151.99047720187036,827.8846118031095,202.00188305080104,172.8355645511952,116.76801022202051
1982,0.0,345.9485711719204,294.0027685384054,677.5316155928564,247.99913323537487,243.14136159425803,145.21788192132595,616.8608348908247,0.0,638.1576751932164,842.5212439261072,0.0,733.1506411483831,56.535947239055815,164.22346578963834,0.0,48.45938334776213,42.61670886781167,23.86535696597453,323.32505233507686,2221.5959282740887,49.87859605888677,0.0,1151.2359625172824,541.1973643521569,2110.8678840786993,3570.4850096455048,134.60526975478257,3300.283912645994,271.5195004449451,583.7237565785808,1605.7182320636407,603.8858814164803,1468.0493811064014,54.88663500585901,598.4678928797758,29852.24753352988,912.6953163424627,401.90891671517466,1563.4118369178027,568.3091016181758,224.4492344391064,277.5651353450743
1983,0.0,345.9485711719204,294.0027685384054,677.5316155928565,247.99913323537487,243.14136159425806,145.21788192132595,628.4054265299145,0.0,638.1576751932164,842.5212439261072,0.0,797.9359569859998,57.33105651116289,166.53306891337795,0.0,49.140905580996765,44.856226959357585,25.119487097240246,330.71736521610757,2227.9508477229256,52.49972803323212,0.0,1272.2059826897218,652.6490375604097,2078.8119343329167,3616.446170943365,136.21729503588784,3943.7736355935035,343.992583086698,714.8682491975279,2355.245954574858,983.2064941578415,2007.6822095126774,73.52156938422345,801.2699120131107,35515.362887312716,1186.355086192633,414.778431379957,1745.7509708568566,565.4155454266859,260.2078667178041,961.5621386681469
1984,0.0,345.2063626419594,293.57790281535813,676.5309458027468,247.58463946297954,242.6141803068858,145.1093056818397,624.4358435623313,0.0,637.1448575805434,841.4393347265045,0.0,791.9854212456639,57.216226192830774,166.1995141791751,0.0,49.04247959385495,45.24792328359145,25.33883703881121,315.8382199803268,1669.068072785122,52.958169411115435,0.0,1001.0436019258474,528.6563958136119,2075.0658588985557,3609.09548955394,136.07386831174043,3459.133502582923,289.829782575467,567.1925603571498,1840.3108362905582,921.6516694621012,1613.418914769816,64.96465398667175,649.519883370466,24934.594919836378,1007.6576892337181,290.88594177912415,1292.7703116218647,356.7313966311255,211.80234435730335,208.12738873598823
1985,0.0,345.9485711719204,294.0027685384054,677.5316155928564,247.99913323537487,243.14136159425803,145.21788192132595,569.035891270389,0.0,638.1576751932164,842.5212439261072,0.0,735.0515197058564,50.300349032787324,146.11053766666794,0.0,43.11458488524627,44.209064287274074,24.757076000873482,250.06278944836993,1420.9527085302711,51.742288841825584,0.0,913.7470968761503,485.78325843907203,2226.802181277738,3616.4461709433654,119.19630950322932,2931.0381077464885,315.8083681438245,569.4908435490444,1959.092032547375,1186.6220405058007,1983.7658968483067,77.40097527931607,799.4564427439843,21264.290150084813,1132.0141125881773,219.8501003428704,1134.4666057262998,304.4078537102188,210.92691631351263,175.74374893748882
1986,0.0,345.9485711719204,294.0027685384054,677.5316155928565,247.99913323537487,239.8751054592832,145.21788192132595,616.8136874096398,0.0,638.1576751932164,842.5212439261072,0.0,733.1506411483832,56.42392805966506,163.89807674474136,0.0,48.363366908284334,44.13855637089913,24.71759156770351,318.9046417704767,1598.5035816339114,51.65976637650034,0.0,918.6421703399149,476.40628623511714,2110.8678840786993,3616.446170943365,134.37815918868748,3103.3463914461577,269.2411536584991,510.8041036909945,1587.8592006583983,774.179933388345,1528.4149499462776,58.58382241619159,615.9290815931607,22783.2778453694,952.6396460231954,313.99568124336366,1259.4770875578993,432.0336224730702,187.23361835417634,198.78122087236534
1987,0.0,345.9485711719204,293.69130024531455,677.4251205996104,247.99913323537487,243.14136159425806,145.21788192132595,517.4706577132963,0.0,630.7776355924937,842.5212439261072,0.0,724.1570233476031,45.596607661138755,132.4472889204507,0.0,39.082806566690365,37.65051293108414,21.084287241407115,221.8693801087858,688.0321413877051,44.066160334540875,0.0,525.3184407945391,320.0825778699916,2351.6472316802588,3391.173869420473,107.68697377171334,2211.2385524106526,223.9315932847685,308.76377096275087,1232.5347254289586,835.5259204442633,1261.7134720758686,52.859664331497235,508.69523525459124,11208.466842988137,823.4227410967676,136.95100769835003,607.9579358314868,147.13899911138586,120.31422434573652,85.23976371790118
1988,0.0,345.20636264195934,290.5946396247172,676.5309458027468,247.58463946297954,242.6141803068858,145.1093056818376,267.14756438911667,0.0,585.9242268786609,841.4393347265045,0.0,235.31654162514076,43.043434498102506,125.03092878020253,0.0,36.89437242694501,25.2777819433471,14.155557888274377,170.26823977654908,327.1962984644905,29.58511598649345,0.0,218.98058204060726,120.05320268997146,2498.64773734108,3113.141026314502,102.32335182593334,1727.7834686066967,71.57867304529984,110.77594814005458,375.0479648762938,200.8681984662103,336.1306211882953,16.225791177869663,135.55907371644565,4935.395510746012,236.74713894937122,61.21799273125293,257.8557472996338,69.97169900571957,43.98508955019774,40.53562363620905
1989,0.0,345.9485711719204,292.6671014734748,677.5316155928564,247.99913323537487,243.14136159425715,145.1844591824306,335.90627114650937,0.0,622.8985555701425,842.5212439261072,0.0,339.9647865704805,42.159413366946104,122.46305787541486,0.0,36.136640028810945,26.793552065331493,15.004389156585635,171.5845060237226,1381.012573094336,31.359173337263982,0.0,737.277185580729,339.9540677304826,2400.7882238266766,3399.5960001178664,98.77192516961927,2419.0906241920534,187.49464389396098,453.6503809193534,1279.1906623852271,658.2777319197006,1252.7604086903602,45.86513779503557,504.8222551051357,18699.350760686742,672.0538832114879,202.07870713944126,999.9295212697324,295.951932730834,164.57483328013754,170.83189086265546
