Demands,Study Region,Contractor,2025,2030,2035,2040,2045,Notes
Multiple Dry-Year Demands (ac-ft),Central Valley - San Joaquin Valley,City of Orange Cove,3,3,3,3,3,
Multiple Dry-Year Demands (ac-ft),Central Valley - San Joaquin Valley,City of Tracy,3,3,3,3,3,
Multiple Dry-Year Demands (ac-ft),Central Valley - San Joaquin Valley,Kern County Water Agency,3,3,3,3,3,
Multiple Dry-Year Demands (ac-ft),Central Valley - San Joaquin Valley,Other Friant-Kern M&I Contractors,3,3,3,3,3,
Multiple Dry-Year Demands (ac-ft),Central Valley - San Joaquin Valley,Stockton-East Water District,3,3,3,3,3,
Multiple Dry-Year Demands (ac-ft),San Francisco Bay Area,"Alameda County Flood Control and Water Conservation District, Zone 7",3,3,3,3,3,
Multiple Dry-Year Demands (ac-ft),San Francisco Bay Area,Alameda County Water District,3,3,3,3,3,
Multiple Dry-Year Demands (ac-ft),San Francisco Bay Area,Contra Costa Water District,3,3,3,3,3,
Multiple Dry-Year Demands (ac-ft),San Francisco Bay Area,East Bay Municipal Utilities District,3,3,3,3,3,
Multiple Dry-Year Demands (ac-ft),San Francisco Bay Area,"San Benito County Water District, Zone 6",3,3,3,3,3,
Multiple Dry-Year Demands (ac-ft),San Francisco Bay Area,Santa Clara Valley Water District,3,3,3,3,3,
Multiple Dry-Year Demands (ac-ft),Central Coast,San Luis Obispo County Flood Control & Water Conservation District,3,3,3,3,3,
Multiple Dry-Year Demands (ac-ft),Central Coast,Santa Barbara County Flood Control & Water Conservation District,3,3,3,3,3,
Multiple Dry-Year Demands (ac-ft),Southern California,Antelope Valley-East Kern Water Agency,3,3,3,3,3,
Multiple Dry-Year Demands (ac-ft),Southern California,Santa Clarita Water Division,3,3,3,3,3,
Multiple Dry-Year Demands (ac-ft),Southern California,Coachella Valley Water District,3,3,3,3,3,
Multiple Dry-Year Demands (ac-ft),Southern California,Crestline-Lake Arrowhead Water Agency,3,3,3,3,3,
Multiple Dry-Year Demands (ac-ft),Southern California,Desert Water Agency,3,3,3,3,3,
Multiple Dry-Year Demands (ac-ft),Southern California,Metropolitan Water District of Southern California,3,3,3,3,3,
Multiple Dry-Year Demands (ac-ft),Southern California,Mojave Water Agency,3,3,3,3,3,
Multiple Dry-Year Demands (ac-ft),Southern California,Palmdale Water District & Littlerock Creek Irrigation District,3,3,3,3,3,
Multiple Dry-Year Demands (ac-ft),Southern California,San Bernardino Valley Municipal Water District,3,3,3,3,3,
Multiple Dry-Year Demands (ac-ft),Southern California,San Gabriel Valley Municipal Water District,3,3,3,3,3,
Multiple Dry-Year Demands (ac-ft),Southern California,San Gorgonio Pass Water Agency,3,3,3,3,3,
Multiple Dry-Year Demands (ac-ft),Southern California,Ventura County Watershed Protection District,3,3,3,3,3,
