Year,Butte County,City of Folsom,City of Redding,City of Roseville,City of West Sacramento,Yuba City,El Dorado Irrigation District,Napa County Flood Control & Water Conservation District,Placer County Water Agency,Sacramento County Water Agency,San Juan Water District,Shasta Contractors,Solano County Water Agency,City of Avenal,City of Coalinga,City of Fresno,City of Huron,City of Lindsay,City of Orange Cove,City of Tracy,Kern County Water Agency,Other Friant-Kern M&I Contractors,Stockton-East Water District,"Alameda County Flood Control and Water Conservation District, Zone 7",Alameda County Water District,Contra Costa Water District,East Bay Municipal Utilities District,"San Benito County Water District, Zone 6",Santa Clara Valley Water District,San Luis Obispo County Flood Control & Water Conservation District,Santa Barbara County Flood Control & Water Conservation District,Antelope Valley-East Kern Water Agency,Santa Clarita Water Division,Coachella Valley Water District,Crestline-Lake Arrowhead Water Agency,Desert Water Agency,Metropolitan Water District of Southern California,Mojave Water Agency,Palmdale Water District & Littlerock Creek Irrigation District,San Bernardino Valley Municipal Water District,San Gabriel Valley Municipal Water District,San Gorgonio Pass Water Agency,Ventura County Watershed Protection District
1943,0,20885.57283,17749.50598,40903.8715,14972.17908,14678.90617,8767.079566,36680.00541,0,38526.79188,50864.60898,0,48172.91046,3461.184858,10053.91792,0,2966.729878,2670.427015,1495.439128,19890.76467,112521.149,3125.467779,0,65299.73527,35045.83908,125557.7361,218331.7296,8223.697027,196445.4395,18865.32098,34132.63843,101767.9624,54902.17782,91974.4026,4127.151021,37053.63084,1557004.001,66837.46106,21129.12947,83434.80722,24070.80919,13165.57421,14062.09534
1944,0,20840.76429,17362.84473,40843.45917,14947.1553,14647.07923,8760.524612,32363.26705,0,34070.56167,50799.29207,0,43491.29855,2687.841409,7807.539332,0,2303.864065,2688.981259,1505.829505,13026.70683,32668.56309,3147.183666,0,29954.65159,18979.1843,140738.6499,217887.955,6359.596311,131998.9576,14575.5865,19772.72323,85648.93407,59817.4957,92080.52986,3622.86221,37120.04938,606210.8491,52957.90011,5426.443678,32517.41966,6986.428639,7492.51076,4047.339794
1945,0,20885.57283,17716.52366,40903.8715,14972.17908,14678.90617,8767.079566,30029.84398,0,38080.78116,50864.60898,0,22866.01672,3244.540793,9424.618494,0,2781.034965,2664.728548,1492.247987,16338.38498,95420.22383,3118.798292,0,50166.57287,23305.09423,139925.0754,218331.7296,7700.086897,174631.7382,11996.21403,28212.16071,74967.0683,35370.13057,68488.35219,2759.5408,27603.73956,1271289.497,42330.62297,15533.55255,67905.32821,20449.98405,10480.07464,11857.95185
1946,0,20885.57283,17749.50598,40903.8715,14972.17908,14678.90617,8767.079566,33521.42457,0,38526.79188,50864.60898,0,40465.24479,3450.388406,10022.5568,0,2957.475777,2668.410634,1494.309955,17989.56883,83867.18913,3123.107807,0,52819.50552,28052.07986,134897.5912,218331.7296,8201.808006,186726.9662,17750.44397,31807.05926,107108.356,63859.11511,106383.0801,4264.006064,42862.81455,1233733.467,63493.84619,13701.87186,65940.84717,17944.22167,11870.47104,10371.82681
1947,0,20885.57283,17730.70205,40903.8715,14972.17908,14678.90617,8767.079566,29290.8715,0,38265.46653,50864.60898,0,39915.4334,2750.994126,7990.982936,0,2357.994965,2664.928553,1492.359989,13281.15969,85051.63173,3119.032378,0,39132.72924,19283.53459,143908.6921,204731.6125,6497.23025,144196.5542,15420.84794,28739.28065,90184.85953,43078.65674,67199.13487,2694.877325,11423.00618,1024280.46,55237.09357,14678.90261,42401.32922,15579.59505,8522.703017,525.0551576
1948,0,20840.76429,17680.56404,40843.45917,14947.1553,14647.07923,8760.524612,29709.03263,0,37857.15829,50799.29207,0,22795.51714,2522.641708,7327.673532,0,2162.264321,2065.314603,1156.576178,10553.10231,63002.13136,2417.244211,0,33440.30775,16228.84487,143940.8607,215146.4754,5907.666727,130970.7782,9170.158968,20942.73785,60988.11801,36400.92906,59538.32924,2253.404679,23514.85089,847886.0565,36683.36512,10135.01144,45783.40056,13508.05203,7599.026224,7808.384423
1949,0,20885.57283,17730.70205,40903.8715,14972.17908,14678.90617,8767.079566,27884.22415,0,38265.46653,50864.60898,0,39915.4334,3070.722311,8919.717188,0,2632.047695,2499.742507,1399.855804,15155.4678,41700.97623,2925.69863,0,26910.60048,14514.5103,143908.6921,218331.7296,7257.090695,137117.4872,9109.37851,14474.09089,49235.51596,27859.07622,48408.9328,2018.486117,19973.69181,609641.0426,31304.32629,7823.528285,33261.27263,8918.046598,5684.585678,5166.354192
1950,0,20885.57283,17749.50598,40903.8715,14972.17908,14678.90617,8767.079566,31092.46782,0,38526.79188,50864.60898,0,22822.11749,2661.946354,7732.320361,0,2281.668303,2644.68635,1481.024356,11839.89498,68787.74895,3095.340904,0,39070.32836,19715.48907,142495.8401,218331.7296,6301.699758,141203.8559,11441.3305,22888.8052,69121.13319,39763.56491,64934.14348,2706.957964,25640.49602,958220.3709,42064.47017,11484.53935,50896.65115,14735.59718,8508.900866,8517.971893
1951,0,20885.57283,17749.50598,40903.8715,14972.17908,14678.90617,8767.079566,37241.06115,0,38526.79188,50864.60898,0,44261.6978,3362.299624,9766.67986,0,2881.971106,2670.382238,1495.414053,18142.99699,100923.4978,3125.415372,0,52943.28207,26122.22151,127437.1066,218331.7296,8023.214542,196460.0324,12852.47564,33839.51776,81473.10763,32699.45172,79103.96186,2663.822434,32009.41078,1577588.968,42900.29288,18788.52212,71149.93738,21536.66947,10589.4207,12597.65239
1952,0,20840.76429,17723.85603,40843.45917,14947.1553,14647.07923,8760.524612,37698.37882,0,38465.64615,50799.29207,0,47813.66531,3454.252333,10033.78059,0,2960.787714,2634.188304,1475.14545,19830.30799,112063.7048,3083.053992,0,65041.49739,33652.54925,125275.6702,217887.955,8215.038083,197553.6433,19225.11198,35261.20781,107633.0674,59225.65889,99580.08686,4335.174307,40077.97871,1559942.01,68995.66191,20516.12002,83800.60284,23950.73347,13534.57155,14004.09547
1953,0,20885.57283,17749.50598,40903.8715,14972.17908,14678.90617,8767.079566,37762.16777,0,38526.79188,50864.60898,0,46511.96227,3461.184858,10053.91792,0,2966.729878,2725.151087,1526.084609,18670.89201,79738.90481,3189.516833,0,54104.44227,29379.80632,131538.0619,218331.7296,8223.697027,192282.2679,20049.42465,35135.29325,126864.7694,79095.16108,131366.4384,5018.763143,52896.47384,1233783.886,71644.18667,11534.70826,65673.43393,17037.92429,12917.03909,9894.081672
1954,0,20885.57283,17749.50598,40903.8715,14972.17908,14678.90617,8767.079566,37687.88255,0,38526.79188,50864.60898,0,44800.80673,3003.518682,8724.506647,0,2574.444584,2601.838268,1457.02943,14865.61347,82637.93971,3045.191509,0,49351.47895,25782.04489,132144.4322,218331.7296,7106.234259,164069.5714,15337.63126,27995.61491,88728.55368,50562.70377,84675.69902,3550.465122,34096.03468,1172637.616,54882.37563,14504.30935,62870.91292,17667.51214,10586.99428,10225.34075
1955,0,20885.57283,17749.50598,40903.8715,14972.17908,14678.90617,8767.079566,30038.89932,0,38461.98556,50864.60898,0,42664.59576,2805.037199,8147.965198,0,2404.317599,2505.169043,1402.894664,13662.86126,32391.26645,2932.049848,0,24160.61061,15197.86452,141571.1779,218220.6223,6658.137679,122588.192,9935.139219,11800.34597,46841.79257,31495.48855,43443.13715,2168.551727,17514.8952,509834.1715,36355.84604,8061.622823,27784.36408,6925.696814,4921.472536,4012.156965
1956,0,20840.76429,17723.85603,40843.45917,14947.1553,14647.07923,8760.524612,32188.20759,0,38465.64615,50799.29207,0,26619.34225,3378.467178,9813.642756,0,2895.82901,2614.7981,1464.286936,19363.97174,116045.8567,3060.359697,0,58468.23405,28564.65172,130687.3021,217865.5582,8060.336936,202246.0928,12807.462,35695.35561,80121.05402,29655.48592,74745.06243,2578.932196,29753.67604,1613933.81,43935.86327,21931.17276,84328.41652,30208.63268,11378.15268,14528.99734
1957,0,20885.57283,17749.50598,40903.8715,14972.17908,14678.90617,8767.079566,35579.57593,0,38526.79188,50864.60898,0,44376.45745,2699.873976,7842.491073,0,2314.177694,2719.609171,1522.981136,13188.30152,65726.5861,3183.030574,0,48143.79343,27983.16228,134436.2804,218331.7296,6380.602196,156798.7713,19689.62531,31165.64976,119785.5905,80605.3868,123262.3659,4931.743207,49172.87746,1063380.194,73312.82153,10599.93425,56610.07252,14078.97852,11604.56826,8138.410807
1958,0,20885.57283,17749.50598,40903.8715,14972.17908,14678.90617,8767.079566,37240.58675,0,38526.79188,50864.60898,0,44261.6978,3362.957651,9768.591271,0,2882.535129,2623.874921,1469.369956,19274.55518,134446.6542,3070.983207,0,70272.74891,34403.82825,127437.1066,218331.7296,8024.548642,207749.5211,16616.25642,40801.22017,96682.39683,36443.08498,90005.30913,3312.371922,36575.91061,1970237.627,55059.86779,25100.10484,97949.30259,34313.60715,13543.61406,16845.36853
1959,0,20885.57283,17749.50598,40903.8715,14972.17908,14678.90617,8767.079566,34351.40641,0,38526.79188,50864.60898,0,44376.45745,3314.317421,9627.302985,0,2840.843504,2654.33322,1486.426603,16826.98625,60007.35929,3106.631601,0,47207.22685,28272.01763,134436.2804,206319.2901,7868.13832,176865.6792,20464.02652,30717.67683,123094.4143,83592.26271,127476.1493,5127.724863,50914.97885,1015793.64,75518.68223,9687.888698,53837.37169,12848.90419,11489.30842,7427.361333
1960,0,20840.76429,17705.0521,40843.45917,14947.1553,14647.07923,8760.524612,30656.98513,0,38204.32081,50799.29207,0,40199.05018,2648.985579,7694.672396,0,2270.559068,1461.529738,818.4566533,10433.16687,70327.72154,1710.574405,0,41545.65765,21468.36155,142108.2607,188266.2816,6265.186421,142780.2347,12700.56401,23736.71585,74700.18281,42825.75979,71291.56615,2962.430164,28740.67288,992372.0814,46143.25126,12181.98518,53332.42344,10288.41137,8981.414,8709.287841
1961,0,20885.57283,17749.50598,40903.8715,14972.17908,14678.90617,8767.079566,25790.32996,0,38526.79188,50864.60898,0,22801.76673,2660.316976,7727.587408,0,2280.271694,952.6085862,533.4608082,12636.58229,36780.9232,1114.933089,0,19828.36155,9738.738259,146810.5515,185581.9701,6324.545885,118589.1184,5791.463831,12455.93713,37357.95135,22580.05569,37793.78626,1379.459739,15245.85899,496566.8976,22851.09346,6116.542268,27308.87416,7865.396274,4567.382746,4556.538538
1962,0,20885.57283,17749.50598,40903.8715,14972.17908,14678.90617,8767.079566,29794.50387,0,38526.79188,50864.60898,0,22786.87743,2604.462317,7565.342921,0,2232.396272,2587.643908,1449.080589,11932.73297,76977.75267,3028.57843,0,42207.39182,19813.92823,139925.0754,212782.2042,6185.155143,144854.4222,10969.46217,25276.52937,72425.10803,36691.41088,69863.83638,2659.796577,28155.5158,1055527.044,38336.48026,11440.97521,56117.17034,16502.43068,9260.490371,9525.749091
1963,0,20885.57283,17749.50598,40903.8715,14972.17908,14678.90617,8767.079566,37240.4383,0,38526.79188,50864.60898,0,44261.6978,3362.299624,9766.67986,0,2881.971106,2667.35861,1493.720821,18725.98928,76815.16344,3121.876517,0,46180.83693,24233.78025,128282.4054,218331.7296,8023.214542,173202.0529,14452.99287,26077.64291,83085.20018,47506.89758,79130.88297,3340.279766,31887.53117,1094688.7,51722.95602,13577.0126,58661.52933,16437.72786,9892.867145,9493.428374
1964,0,20840.76429,17723.85603,40843.45917,14947.1553,14647.07923,8760.524612,28707.27997,0,38465.64615,50799.29207,0,44000.15856,2687.841409,7807.539332,0,2303.864065,2324.694974,1301.829185,12836.42959,82257.60462,2720.822998,0,48865.31511,25376.20713,139176.4911,211811.922,6359.596311,152934.8541,15044.21773,27791.20378,87742.21106,49829.12418,83892.38305,3496.831123,33793.05026,1164405.915,53934.29517,14304.17581,62479.11648,17604.24934,10526.90579,10175.89169
1965,0,20885.57283,17749.50598,40903.8715,14972.17908,14678.90617,8767.079566,32345.74052,0,38526.79188,50864.60898,0,26662.46973,3362.299624,9766.67986,0,2881.971106,2651.601496,1484.896838,18761.09241,55756.46318,3103.434391,0,29641.31638,14382.19359,131780.0136,217092.0675,8023.214542,156307.4775,8377.542697,18631.77973,53991.20202,32285.99176,52597.3865,2005.384644,20771.00393,753474.7344,32571.26545,9001.650011,40502.02065,11934.05079,6714.007709,6898.526605
