Variable,Contractor,2025,2030,2035,2040,2045,Notes
Urban Population (thousands),"San Benito County Water District, Zone 6",54990,61069,67193,73682,0,
Urban Population (thousands),Santa Clara Valley Water District,2098695,2217750,2387165,2538320,2699046,
Urban Population (thousands),San Luis Obispo County Flood Control & Water Conservation District,48968,50576,51675,52364,52722,
Urban Population (thousands),Santa Barbara County Flood Control & Water Conservation District,0,0,0,0,0,
Urban Population (thousands),Antelope Valley-East Kern Water Agency,345335,370100,394864,420967,447071,
Urban Population (thousands),Santa Clarita Valley Water Agency,332100,362100,392500,411900,422100,
Urban Population (thousands),Coachella Valley Water District,292077,315202,338274,360813,383300,
Urban Population (thousands),Crestline-Lake Arrowhead Water Agency,0,0,0,0,0,
Urban Population (thousands),Desert Water Agency,75588,79495,83403,87344,91284,
Urban Population (thousands),Metropolitan Water District of Southern California,20089000,20634000,21145000,21610000,22026000,
Urban Population (thousands),Mojave Water Agency,533170,567855,592849,614931,634934,
Urban Population (thousands),Palmdale Water District & Littlerock Creek Irrigation District,128998,132003,138554,145962,153766,
Urban Population (thousands),San Bernardino Valley Municipal Water District,747984,781550,816622,843974,872242,
Urban Population (thousands),San Gabriel Valley Municipal Water District,270684,273012,275369,277757,280175,
Urban Population (thousands),San Gorgonio Pass Water Agency,118000,133500,149500,164000,177700,
Urban Population (thousands),Ventura County Watershed Protection District,0,0,0,0,0,
Storage Volume Trigger for Contingency Conservation (AF),Butte County,0,0,0,0,0,
Storage Volume Trigger for Contingency Conservation (AF),City of Folsom,0,0,0,0,0,
Storage Volume Trigger for Contingency Conservation (AF),City of Redding,0,0,0,0,0,
Storage Volume Trigger for Contingency Conservation (AF),City of Roseville,0,0,0,0,0,
Storage Volume Trigger for Contingency Conservation (AF),City of West Sacramento,0,0,0,0,0,
Storage Volume Trigger for Contingency Conservation (AF),Yuba City,0,0,0,0,0,
Storage Volume Trigger for Contingency Conservation (AF),El Dorado Irrigation District,0,0,0,0,0,
Storage Volume Trigger for Contingency Conservation (AF),Napa County Flood Control & Water Conservation District,0,0,0,0,0,
Storage Volume Trigger for Contingency Conservation (AF),Placer County Water Agency,0,0,0,0,0,
Storage Volume Trigger for Contingency Conservation (AF),Sacramento County Water Agency,0,0,0,0,0,
Storage Volume Trigger for Contingency Conservation (AF),San Juan Water District,0,0,0,0,0,
Storage Volume Trigger for Contingency Conservation (AF),Shasta Contractors,0,0,0,0,0,
Storage Volume Trigger for Contingency Conservation (AF),Solano County Water Agency,0,0,0,0,0,
Storage Volume Trigger for Contingency Conservation (AF),City of Avenal,0,0,0,0,0,
Storage Volume Trigger for Contingency Conservation (AF),City of Coalinga,0,0,0,0,0,
Storage Volume Trigger for Contingency Conservation (AF),City of Fresno,0,0,0,0,0,
Storage Volume Trigger for Contingency Conservation (AF),City of Huron,0,0,0,0,0,
Storage Volume Trigger for Contingency Conservation (AF),City of Lindsay,0,0,0,0,0,
Storage Volume Trigger for Contingency Conservation (AF),City of Orange Cove,0,0,0,0,0,
Storage Volume Trigger for Contingency Conservation (AF),City of Tracy,0,0,0,0,0,
Storage Volume Trigger for Contingency Conservation (AF),Kern County Water Agency Improvement District No 4,0,0,0,0,0,
Storage Volume Trigger for Contingency Conservation (AF),Other Friant-Kern M&I Contractors,0,0,0,0,0,
Storage Volume Trigger for Contingency Conservation (AF),Stockton-East Water District,0,0,0,0,0,
Storage Volume Trigger for Contingency Conservation (AF),"Alameda County Flood Control and Water Conservation District, Zone 7",0,0,0,0,0,
Storage Volume Trigger for Contingency Conservation (AF),Alameda County Water District,0,0,0,0,0,
Storage Volume Trigger for Contingency Conservation (AF),Contra Costa Water District,0,0,0,0,0,
Storage Volume Trigger for Contingency Conservation (AF),East Bay Municipal Utilities District,0,0,0,0,0,
Storage Volume Trigger for Contingency Conservation (AF),"San Benito County Water District, Zone 6",278000,278000,278000,278000,278000,
Storage Volume Trigger for Contingency Conservation (AF),Santa Clara Valley Water District,0,0,0,0,0,
