Variable,Contractor,2025,2030,2035,2040,2045,Notes
Other Supply Volume (AFY),Napa County Flood Control & Water Conservation District,0,0,0,0,0,
Other Supply Volume (AFY),Placer County Water Agency,0,0,0,0,0,
Other Supply Volume (AFY),Sacramento County Water Agency,0,0,0,0,0,
Other Supply Volume (AFY),San Juan Water District,0,0,0,0,0,
Other Supply Volume (AFY),Shasta Contractors,0,0,0,0,0,
Other Supply Volume (AFY),Solano County Water Agency,0,0,0,0,0,
Other Supply Volume (AFY),City of Avenal,0,0,0,0,0,
Other Supply Volume (AFY),City of Coalinga,0,0,0,0,0,
Other Supply Volume (AFY),City of Fresno,0,0,0,0,0,
Other Supply Volume (AFY),City of Huron,0,0,0,0,0,
Other Supply Volume (AFY),City of Lindsay,0,0,0,0,0,
Other Supply Volume (AFY),City of Orange Cove,0,0,0,0,0,
Other Supply Volume (AFY),City of Tracy,0,0,0,0,0,
Other Supply Volume (AFY),Kern County Water Agency Improvement District No 4,0,0,0,0,0,
Other Supply Volume (AFY),Other Friant-Kern M&I Contractors,0,0,0,0,0,
Other Supply Volume (AFY),Stockton-East Water District,0,0,0,0,0,
Other Supply Volume (AFY),"Alameda County Flood Control and Water Conservation District, Zone 7",0,0,0,0,0,
Other Supply Volume (AFY),Alameda County Water District,0,0,0,0,0,
Other Supply Volume (AFY),Contra Costa Water District,0,0,0,0,0,
Other Supply Volume (AFY),East Bay Municipal Utilities District,0,0,0,0,0,
Other Supply Volume (AFY),"San Benito County Water District, Zone 6",0,0,0,0,0,
Other Supply Volume (AFY),Santa Clara Valley Water District,0,0,0,0,0,
Other Supply Volume (AFY),San Luis Obispo County Flood Control & Water Conservation District,0,0,0,0,0,
Other Supply Volume (AFY),Santa Barbara County Flood Control & Water Conservation District,0,0,0,0,0,
Other Supply Volume (AFY),Antelope Valley-East Kern Water Agency,0,0,0,0,0,
Other Supply Volume (AFY),Santa Clarita Water Division,0,0,0,0,0,
Other Supply Volume (AFY),Coachella Valley Water District,0,0,0,0,0,
Other Supply Volume (AFY),Crestline-Lake Arrowhead Water Agency,0,0,0,0,0,
Other Supply Volume (AFY),Desert Water Agency,0,0,0,0,0,
Other Supply Volume (AFY),Metropolitan Water District of Southern California,0,0,0,0,0,
Other Supply Volume (AFY),Mojave Water Agency,0,0,0,0,0,
Other Supply Volume (AFY),Palmdale Water District & Littlerock Creek Irrigation District,0,0,0,0,0,
Other Supply Volume (AFY),San Bernardino Valley Municipal Water District,0,0,0,0,0,
Other Supply Volume (AFY),San Gabriel Valley Municipal Water District,0,0,0,0,0,
Other Supply Volume (AFY),San Gorgonio Pass Water Agency,0,0,0,0,0,
Other Supply Volume (AFY),Ventura County Watershed Protection District,0,0,0,0,0,
Additional Conservation Volume (AFY),Butte County,0,0,0,0,0,
Additional Conservation Volume (AFY),City of Folsom,0,0,0,0,0,
Additional Conservation Volume (AFY),City of Redding,0,0,0,0,0,
Additional Conservation Volume (AFY),City of Roseville,0,0,0,0,0,
Additional Conservation Volume (AFY),City of West Sacramento,0,0,0,0,0,
Additional Conservation Volume (AFY),Yuba City,0,0,0,0,0,
Additional Conservation Volume (AFY),El Dorado Irrigation District,0,0,0,0,0,
Additional Conservation Volume (AFY),Napa County Flood Control & Water Conservation District,0,0,0,0,0,
Additional Conservation Volume (AFY),Placer County Water Agency,0,0,0,0,0,
Additional Conservation Volume (AFY),Sacramento County Water Agency,0,0,0,0,0,
Additional Conservation Volume (AFY),San Juan Water District,0,0,0,0,0,
Additional Conservation Volume (AFY),Shasta Contractors,0,0,0,0,0,
Additional Conservation Volume (AFY),Solano County Water Agency,0,0,0,0,0,
Additional Conservation Volume (AFY),City of Avenal,0,0,0,0,0,
Additional Conservation Volume (AFY),City of Coalinga,0,0,0,0,0,
Additional Conservation Volume (AFY),City of Fresno,0,0,0,0,0,
Additional Conservation Volume (AFY),City of Huron,0,0,0,0,0,
Additional Conservation Volume (AFY),City of Lindsay,0,0,0,0,0,
Additional Conservation Volume (AFY),City of Orange Cove,0,0,0,0,0,
Additional Conservation Volume (AFY),City of Tracy,0,0,0,0,0,
Additional Conservation Volume (AFY),Kern County Water Agency Improvement District No 4,0,0,0,0,0,
Additional Conservation Volume (AFY),Other Friant-Kern M&I Contractors,0,0,0,0,0,
Additional Conservation Volume (AFY),Stockton-East Water District,0,0,0,0,0,
Additional Conservation Volume (AFY),"Alameda County Flood Control and Water Conservation District, Zone 7",0,0,0,0,0,
Additional Conservation Volume (AFY),Alameda County Water District,0,0,0,1860,1860,
Additional Conservation Volume (AFY),Contra Costa Water District,0,0,0,0,0,
Additional Conservation Volume (AFY),East Bay Municipal Utilities District,0,0,0,0,0,
Additional Conservation Volume (AFY),"San Benito County Water District, Zone 6",0,0,0,0,0,
Additional Conservation Volume (AFY),Santa Clara Valley Water District,0,0,0,0,0,
Additional Conservation Volume (AFY),San Luis Obispo County Flood Control & Water Conservation District,0,0,0,0,0,
