,City of Folsom,City of Redding,City of Roseville,City of West Sacramento,Yuba City,El Dorado Irrigation District,Napa County Flood Control & Water Conservation District,Placer County Water Agency,Sacramento County Water Agency,San Juan Water District,Shasta Contractors,Solano County Water Agency,City of Avenal,City of Coalinga,City of Fresno,City of Huron,City of Lindsay,City of Orange Cove,City of Tracy,Kern County Water Agency,Other Friant-Kern M&I Contractors,Stockton-East Water District,"Alameda County Flood Control and Water Conservation District, Zone 7",Alameda County Water District,Contra Costa Water District,East Bay Municipal Utilities District,"San Benito County Water District, Zone 6",Santa Clara Valley Water District,San Luis Obispo County Flood Control & Water Conservation District,Santa Barbara County Flood Control & Water Conservation District,Antelope Valley-East Kern Water Agency,Santa Clarita Water Division,Coachella Valley Water District,Crestline-Lake Arrowhead Water Agency,Desert Water Agency,Metropolitan Water District of Southern California,Mojave Water Agency,Palmdale Water District & Littlerock Creek Irrigation District,San Bernardino Valley Municipal Water District,San Gabriel Valley Municipal Water District,San Gorgonio Pass Water Agency,Ventura County Watershed Protection District
Cost ($/acre-foot),33.81,41.4,34.55,33.99,0,40.1,23.29,33.74,36.26,33.59,234.39,17.03,67.78,123.57,30.59,121.58,31.21,31.9,42.62,11.84,95.82,33.59,29.4,20.65,37.01,104.88,35.47,42.54,131.89,118.18,98.97,68.7,119.58,114.93,96.2,80.96,170.54,140.6,109.16,96.9,253.12,135.22
Year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year
1940,33025.41563,26286.61139,57563.33171,14278.75038,6364.905517,6516.370352,33213.00881,95151.45659,77947.14061,78858.81693,8981.578307,33222.2264,5249.737052,7499.62436,57738.36633,2249.887308,2405.765264,1347.228548,14946,93322.25209,2815.707665,75000.00088,29281.59864,29281.59864,157000.1551,0,5628.333182,148841.8604,8447,44827.76691,93554.8508,61360.1013,87162.14461,3837.469142,31627.5048,1754483.325,54783.18062,15614.52955,62845.9391,19327.21045,11446.24428,14183.96392
1941,33999.99995,25870.6013,61999.99965,11767.94401,8227.016257,7549.999945,35722.75973,100000,81285.93915,82200.00113,10387.00007,42308.83877,6980.625369,9972.321956,59524.08885,2991.696587,2480.170369,1388.895407,19918.03333,117202.6036,2902.7914,75000.00088,36930.27745,36930.27745,148999.8505,0,8242.680559,205323.1351,8447,59502.41197,120925.1685,71789.98396,114225.0671,4960.155364,41220.82967,2044482.834,70810.49452,20182.70119,82752.94394,24830.50075,14794.94625,17464.3483
1942,33999.99922,27099.7071,62000.00104,12993.02834,7070.786413,7549.999901,35341.6729,99999.99751,72954.73262,82200.00151,10361.49997,32308.92296,6999.999826,9999.999751,59524.08897,2999.999925,2480.170374,1388.895409,20000,95089.99747,2902.791406,75000.00088,29086.15122,29086.15122,148999.8505,0,8297.249986,190739.2662,8447,49158.37384,103930.2749,56086.08244,96790.61813,4263.052205,33188.67887,1630918.625,60858.74683,17346.21277,68796.86788,20828.8025,12715.65599,13992.08634
1943,33193.22207,26398.90213,58311.87227,15307.70733,8534.714751,6679.832513,36107.67637,95966.11023,74400.89625,79410.85538,9174.815999,41295.10554,6193.22205,8847.460072,58571.70355,2654.238022,2440.487648,1366.673083,17684.2,116852.5173,2856.346743,75000.00106,36541.03679,36541.03679,148999.8502,0,7340.958882,193477.0887,8447,61199.3452,117002.2284,69664.01456,90878.60033,5145.670184,45478.82056,1701662.671,73458.87736,20937.55463,89128.26778,25417.41671,15348.29224,15854.99428
1944,30906.75932,24405.00087,47859.47124,15103.0525,3451.191917,4213.719086,26422.2569,84533.79731,65587.72022,71506.22585,5782.84113,17044.29669,3906.759362,5581.084803,53231.93592,1674.325441,2217.99733,1242.078505,11110.4,48818.74718,2595.944075,75000.00088,15067.57477,15067.57477,175000.0004,0,4630.765667,102486.9603,8447,12699.73099,50727.5006,30040.87929,50214.16428,2080.760302,20234.47486,1024362.476,29704.64737,8466.541812,37238.69318,10332.05096,6206.405648,7341.689354
1945,32249.9996,25582.07984,54000.00097,14606.89188,7183.479209,5662.500083,35257.13296,91250.00135,72685.92745,76150.00248,7783.875154,37566.29162,5249.99994,7499.999915,59524.08897,2249.999974,2480.170374,1388.895409,15000,104412.984,2902.791406,75000.00088,33802.82102,33802.82102,162000.1637,0,6222.937497,169889.9112,8447,51379.21035,106586.6916,68541.23542,95916.62552,4330.995843,32743.82301,1999704.844,61828.70108,17622.67328,68101.17726,21778.77778,12918.31551,15763.42288
1946,33442.44295,26637.47758,59465.75143,16776.60745,6615.303696,6962.398689,33955.60405,97231.35607,72331.09227,80294.50433,9580.394115,30581.33592,6137.547956,8767.925652,57916.93853,2630.377696,2413.205772,1351.395232,17504.1,88213.60742,2824.416035,75000.00088,27441.346,27441.346,157000.1551,0,7252.199407,171383.2454,8447,45429.99584,97235.33663,49406.33838,96238.68937,3988.436621,37479.15389,1575078.936,56938.37163,16228.81149,71658.92723,19531.50817,11896.54375,12785.42491
1947,31574.32986,25027.65047,50937.20999,15137.79309,3932.906502,4958.265714,21867.76118,87905.7578,49117.23185,73853.41729,6841.346573,19423.3252,4583.969831,6548.528331,54043.575,1964.558499,2251.815625,1261.01675,12921.6,54996.77781,2635.525007,75000.00106,17170.69355,17170.69355,175000.0006,0,5347.20503,117800.092,8447,15028.12444,57808.00312,33726.96377,62852.92334,2371.19102,28273.75732,1148255.828,33850.79619,9648.294566,49030.8553,11774.18995,7072.690559,8166.953852
1948,32504.02196,25883.28691,55222.25212,13697.31674,6429.810835,5994.057234,34936.94678,92600.184,71768.36751,77120.46509,8378.81641,31754.70924,5128.651205,7326.644578,35766.74468,2197.993373,1490.281028,834.5573759,14014.03333,89903.04152,1744.224916,0,28071.93889,28071.93889,162000.1637,0,5940.154896,152284.7941,8447,44644.01892,94508.8611,55065.66657,87611.32728,3876.601142,31421.57002,1633589.108,55341.82195,15773.75611,62980.55137,19249.32939,11562.96538,13348.25613
1949,32214.41934,25564.83088,53852.1337,15885.66589,2107.403919,5638.079012,16361.35132,91091.50414,61429.2507,76049.36028,7756.894529,10407.77161,5219.904928,7457.00704,47081.74574,2237.102112,1961.739406,1098.574067,14848.91667,29618.3175,2296.0198,0,9200.72438,9200.72438,175000.0004,0,6138.172892,110201.742,5592.4333,5207.552519,30975.77152,18251.7613,35166.60049,1270.57618,16356.94766,633521.1316,18138.57052,5169.930776,27783.53575,6309.068102,3789.822115,4423.440415
1950,32010.8393,25385.20355,52918.25463,15655.11385,6684.141242,5415.456104,34175.17721,90069.36857,69428.46803,75340.66959,7451.528055,37512.92517,5015.127115,7164.467307,54834.86864,2149.340192,2284.786194,1279.480268,13927.53333,101681.7457,2674.113761,0,33445.22809,33445.22809,175000.0004,0,5906.165989,163849.7769,8447,29452.41568,98247.15445,67120.86098,89285.92729,4029.939846,30511.79835,1902255.617,57530.86488,16397.68629,63409.54202,20626.35246,12020.33762,15567.14903
1951,33820.92976,26936.16038,61181.39219,15667.74705,7668.142196,7356.859784,38909.37681,99104.64732,78094.97646,81580.92917,10088.15459,37418.28598,6273.240782,8961.772546,55343.19775,2688.531764,2305.966573,1291.341281,17905.88333,106426.6278,2698.903277,75000.00106,34165.64762,34165.64762,157000.155,0,6713.326451,179907.4433,8447,54486.66784,113710.535,64746.33569,108214.0246,4623.204477,39898.80269,1983358,66000.22858,18811.65927,78532.32107,22896.8777,13789.90271,15758.49926
1952,34000.00032,27085.57409,61999.99991,14900.60918,9299.315634,7549.999931,38351.10157,99999.9995,76664.73394,82200.00132,10344.50003,42874.65674,6999.999826,9999.999751,60000.28171,2999.999925,2500.011738,1400.006573,20000,125528.1555,2926.013738,75000.00088,38276.96815,38276.96815,148999.8505,0,8297.249986,212090.8952,8447,66983.48718,127949.7956,77414.86875,132059.4319,5606.65611,49648.68767,2118801.728,80039.84817,19596.68187,97081.70241,27402.45905,16723.30164,17195.96797
1953,33885.76183,27084.58043,61503.25829,14695.32273,5709.617951,7450.841271,31518.5583,99462.26614,72384.66393,81843.61745,10338.125,27199.48215,5249.99994,7499.999915,58249.3009,2249.999974,2427.054204,1359.150354,15000,77434.40153,2840.624241,75000.00088,24300.42522,24300.42522,148999.8505,0,6222.937497,148126.8775,8447,38450.19492,83923.07809,42932.23763,88204.12041,3442.389344,35543.04094,1562008.574,49143.07526,14006.96366,65411.94595,16974.83909,10267.81642,11276.68185
1954,33925.06817,27081.2475,61688.59701,14155.26234,6096.56229,7498.569735,30395.75415,99666.21207,77475.27128,81988.04977,10334.80221,30108.90583,3894.496989,5563.567128,55388.43105,1669.070138,2307.851294,1292.396725,15000,85183.4212,2701.109154,75000.00088,26617.0081,26617.0081,157000.1551,0,5110.876542,136891.8214,8447,41951.48413,89610.59396,52035.71518,85210.82606,3675.682033,32365.68977,1656911.352,52473.53081,14956.2237,62180.91716,18251.66258,10963.67248,12636.40093
1955,32222.00895,25550.20774,53872.04255,15421.71989,3659.084987,5632.309602,27044.82907,91110.04307,73335.24708,76053.2295,7729.692072,22614.35394,5222.008845,7460.012636,45907.7731,2238.003791,1912.823879,1071.181372,14925.4,59412.73768,2238.769068,0,19311.83328,19311.83328,175000.0006,0,6189.759152,133942.1869,8447,14524.49399,53783.22583,41241.38693,55089.98482,2206.101206,23256.07431,1333229.652,31493.99694,8976.549826,41622.12289,11581.84337,6580.267469,9281.774003
1956,33999.9996,27098.32948,62000.00075,16207.80727,8568.195767,7549.999998,38073.52863,99999.99841,76156.66419,82200.00174,10361.49992,37772.14612,6999.999826,9999.999751,59285.9925,2999.999925,2470.249687,1383.339825,20000,111527.0161,2891.180234,75000.00088,35071.30594,35071.30594,148999.8505,0,8297.249986,208497.6154,8447,60483.41142,126940.0107,63461.03011,114405.9024,5165.856203,39055.65531,1990377.046,73747.05119,21019.69069,81228.63509,25023.73756,15408.50198,16094.28149
1957,32658.12784,25956.10923,55875.60084,14944.50849,4322.410025,6112.011457,27051.25077,93303.59745,74128.46538,77575.88803,8417.383385,21346.95523,5249.99994,7499.999915,59524.08916,2249.999974,2480.170382,1388.895414,15000,61371.96074,2902.791415,75000.00088,19871.2292,19871.2292,157000.1551,0,5846.057194,133024.783,8447,27807.51213,63533.13841,39471.82126,70980.30965,2606.026881,30071.95308,1247365.877,37203.2807,10603.83372,55343.18181,12940.27158,7773.14932,9269.82526
1958,33977.39312,26821.8263,61906.05055,13198.31399,9619.999689,7534.483254,38734.47193,99899.29162,76156.66558,82136.05579,10355.0113,47509.99993,6980.877934,9972.682762,59285.9925,2991.804829,2470.249687,1383.339825,20000,133892.7587,2891.180234,75000.00088,42999.9999,42999.9999,148999.8505,0,8243.391885,216147.108,8447,70248.45002,129931.2732,80389.33079,128450.0012,5799.999891,43850.00113,2077194.822,82799.99967,23599.99996,91199.99906,28799.9996,17300.00009,18356.66829
1959,32588.06781,25868.93992,55545.45328,17171.70415,5068.824219,6027.130392,28736.60299,92940.33828,63791.77105,77318.74968,8271.537667,25033.24843,5249.99994,7499.999915,47915.01975,2249.999974,1996.459156,1118.017127,15000,70606.48826,2336.655796,75000.00106,22130.00198,22130.00198,162000.163,41384.99811,5831.504451,136574.4304,8447,33642.35745,74504.34102,42990.52623,78703.13489,3056.047965,31714.48999,1450775.019,43627.71913,12434.95385,58366.03888,15174.85905,9115.453375,10437.20757
1960,31989.1366,25384.56226,52830.48129,15292.23139,3461.644747,5402.843413,24447.28389,89975.86829,66164.0129,75282.94355,7448.095445,17095.91984,4997.922693,7139.889561,33268.87454,2141.966868,1386.203106,776.2737392,14166.55,48515.86365,1622.412115,0,15113.21073,15113.21073,175000.0004,61906.997,5847.271868,120094.5917,8447,12711.57595,50881.14203,29781.1932,49783.63425,2087.062398,20060.98774,1027097.158,29794.615,8492.184937,36919.41366,10363.34428,6225.20325,7222.640749
1961,32228.71843,25570.1614,53911.56071,16299.71228,3692.938828,5647.89379,27143.44825,91155.20384,62586.50195,76089.80727,7765.956834,18238.2051,5231.999997,7474.28571,17449.77431,2242.285713,727.0739294,407.1614005,14907.38333,51626.63051,850.967327,0,16123.01783,16123.01783,175000.0004,61709.00046,5654.042386,119719.3646,8447,13842.57238,54280.82768,31607.38185,53109.9891,2226.512063,21401.38781,1084711.23,31785.37865,9059.600845,39386.23085,11055.78408,6641.147915,7663.628622
1962,33107.52006,26356.18324,57940.83612,15765.33657,5981.511633,6606.971419,34054.11565,95564.82263,82779.88822,79145.94412,9102.193592,33410.79535,5249.99994,7499.999915,59524.08941,2249.999974,2480.170392,1388.89542,15000,90650.59933,2902.791427,0,28893.19173,28893.19173,162000.1637,44212.99836,6222.937497,154971.2515,8447,42209.80112,87919.51795,59789.63081,84327.74761,3606.316893,32626.32701,1810178.638,51483.28212,14673.97892,61842.28513,18432.68727,10756.77277,13858.89999
1963,33999.99963,27099.19556,62000.00073,12506.65774,6488.454721,7549.999997,31585.23189,99999.99968,76224.82421,82200.00219,10369.99988,28174.24802,5295.570054,7565.100077,59524.0894,2269.530023,2480.170392,1388.895419,15333.63333,84802.68643,2902.791426,0,25549.4901,25549.4901,148999.8502,0,6274.471437,154424.6019,8447,44102.95534,95370.84405,49564.11178,89670.45875,3911.958237,32605.4667,1504138.236,55846.57623,15917.62335,64822.34311,18899.43702,11668.42718,12375.88248
1964,32024.31348,25381.65966,52968.29174,17840.93647,4952.424118,5419.081247,32415.30643,90121.56596,70564.27838,75369.77092,7443.161846,25094.11917,5024.313663,7177.590946,40186.5205,2153.277284,1674.438354,937.6854783,14343.4,71023.15546,1959.76265,0,22147.44948,22147.44948,175000.0004,25949.99858,5955.426716,137761.5763,8447,20236.72105,72793.42891,46822.80602,76527.41596,2985.869009,33234.00174,1447975.812,42625.85491,12149.398,58630.89802,14924.47876,8906.126619,10695.99611
1965,33049.93027,26363.34061,57673.02855,16157.907,6723.247918,6540.572326,34171.20803,95270.91827,73967.09862,78939.97975,9112.019312,34332.61323,6080.527949,8686.468499,59524.08941,2605.94055,2480.170392,1388.89542,17224.33333,95722.11046,2902.791427,75000.00088,30300.7296,30300.7296,148999.8505,0,7114.668303,173309.9611,8447,47299.57758,98821.96299,58066.5544,89771.43734,4053.51759,30645.99121,1728094.442,57867.45838,16493.62342,63738.07079,20298.3133,12090.66441,14252.83415
