Variable,Study Region,Contractor,2025,2030,2035,2040,2045,Notes
Commercial and Governmental Use (AFY),Central Valley - Sacramento Valley,Yuba City,1620,1720,1830,1980,2130,
Commercial and Governmental Use (AFY),Central Valley - Sacramento Valley,El Dorado Irrigation District,3310,3310,3310,3310,3310,
Commercial and Governmental Use (AFY),Central Valley - Sacramento Valley,Placer County Water Agency,4338,4993,5747,6618,6989,
Commercial and Governmental Use (AFY),Central Valley - Sacramento Valley,Sacramento County Water Agency,5349,7146,8942,10670,12397,
Commercial and Governmental Use (AFY),Central Valley - Sacramento Valley,San Juan Water District,2461,2495,2539,2575,2602,
Commercial and Governmental Use (AFY),Central Valley - San Joaquin Valley,City of Coalinga,2059.223747,2338.492542,2654.58799,3013.647869,0,
Commercial and Governmental Use (AFY),Central Valley - San Joaquin Valley,City of Fresno,19052,21135,22587,24041,25496,
Commercial and Governmental Use (AFY),Central Valley - San Joaquin Valley,City of Tracy,2502.87,2853.76,3209.8,3569.06,4152.4,
Commercial and Governmental Use (AFY),Central Valley - San Joaquin Valley,Stockton-East Water District,11755,11660,11828,12011,11912,
Commercial and Governmental Use (AFY),San Francisco Bay Area,"Alameda County Flood Control and Water Conservation District, Zone 7",6870.594747,6962.112532,6982.630317,6985.079215,6976.079215,
Commercial and Governmental Use (AFY),San Francisco Bay Area,Alameda County Water District,9300,9500,9700,9800,12700,
Commercial and Governmental Use (AFY),San Francisco Bay Area,Contra Costa Water District,7100,7200,7500,7700,7900,
Commercial and Governmental Use (AFY),San Francisco Bay Area,East Bay Municipal Utilities District,0,0,0,0,0,
Commercial and Governmental Use (AFY),San Francisco Bay Area,"San Benito County Water District, Zone 6",529,610,615,660,660,
Commercial and Governmental Use (AFY),San Francisco Bay Area,Santa Clara Valley Water District,0,0,0,0,0,
Commercial and Governmental Use (AFY),Central Coast,San Luis Obispo County Flood Control & Water Conservation District,852,869,886,904,921,
Commercial and Governmental Use (AFY),Southern California,Antelope Valley-East Kern Water Agency,1904.584103,1763.669633,1436.041101,1204.104398,1255.64723,
Commercial and Governmental Use (AFY),Southern California,Santa Clarita Water Division,21175.32617,23323.54766,24244.21402,25471.76916,27006.21308,
Commercial and Governmental Use (AFY),Southern California,Metropolitan Water District of Southern California,263000,261000,262500,260000,255000,
Commercial and Governmental Use (AFY),Southern California,Mojave Water Agency,13328,13983,14355,14687,15077,
Commercial and Governmental Use (AFY),Southern California,Palmdale Water District & Littlerock Creek Irrigation District,1170,1240,1390,1550,1730,
Commercial and Governmental Use (AFY),Southern California,San Bernardino Valley Municipal Water District,0,0,0,0,0,
Commercial and Governmental Use (AFY),Southern California,San Gorgonio Pass Water Agency,3104,3371,3605,3810,3990,
Agricultural Use (AFY),Central Valley - Sacramento Valley,City of Folsom,0,0,0,0,0,
Agricultural Use (AFY),Central Valley - Sacramento Valley,City of Redding,0,0,0,0,0,
Agricultural Use (AFY),Central Valley - Sacramento Valley,City of Roseville,0,0,0,0,0,
Agricultural Use (AFY),Central Valley - Sacramento Valley,City of West Sacramento,0,0,0,0,0,
Agricultural Use (AFY),Central Valley - Sacramento Valley,Yuba City,0,0,0,0,0,
Agricultural Use (AFY),Central Valley - Sacramento Valley,El Dorado Irrigation District,5210,5360,5510,5660,5810,
Agricultural Use (AFY),Central Valley - Sacramento Valley,Placer County Water Agency,62965,60898,59281,57913,54698,
Agricultural Use (AFY),Central Valley - Sacramento Valley,Sacramento County Water Agency,0,0,0,0,0,
Agricultural Use (AFY),Central Valley - Sacramento Valley,San Juan Water District,202,202,202,202,202,
Agricultural Use (AFY),Central Valley - San Joaquin Valley,City of Coalinga,0,0,0,0,0,
Agricultural Use (AFY),Central Valley - San Joaquin Valley,City of Fresno,0,0,0,0,0,
Agricultural Use (AFY),Central Valley - San Joaquin Valley,City of Tracy,0,0,0,0,0,
Agricultural Use (AFY),Central Valley - San Joaquin Valley,Stockton-East Water District,0,0,0,0,0,
Agricultural Use (AFY),San Francisco Bay Area,"Alameda County Flood Control and Water Conservation District, Zone 7",5500,7800,8300,8300,8300,
Agricultural Use (AFY),San Francisco Bay Area,Alameda County Water District,0,0,0,0,0,
Agricultural Use (AFY),San Francisco Bay Area,Contra Costa Water District,0,0,0,0,0,
Agricultural Use (AFY),San Francisco Bay Area,East Bay Municipal Utilities District,0,0,0,0,0,
Agricultural Use (AFY),San Francisco Bay Area,"San Benito County Water District, Zone 6",5,5,5,3,3,
Agricultural Use (AFY),San Francisco Bay Area,Santa Clara Valley Water District,25000,25000,25000,25000,25000,
