Year,Butte County,City of Folsom,City of Redding,City of Roseville,City of West Sacramento,Yuba City,El Dorado Irrigation District,Napa County Flood Control & Water Conservation District,Placer County Water Agency,Sacramento County Water Agency,San Juan Water District,Shasta Contractors,Solano County Water Agency,City of Avenal,City of Coalinga,City of Fresno,City of Huron,City of Lindsay,City of Orange Cove,City of Tracy,Kern County Water Agency Improvement District No 4,Other Friant-Kern M&I Contractors,Stockton-East Water District,"Alameda County Flood Control and Water Conservation District, Zone 7",Alameda County Water District,Contra Costa Water District,East Bay Municipal Utilities District,"San Benito County Water District, Zone 6",Santa Clara Valley Water District,San Luis Obispo County Flood Control & Water Conservation District,Santa Barbara County Flood Control & Water Conservation District,Antelope Valley-East Kern Water Agency,Santa Clarita Water Division,Coachella Valley Water District,Crestline-Lake Arrowhead Water Agency,Desert Water Agency,Metropolitan Water District of Southern California,Mojave Water Agency,Palmdale Water District & Littlerock Creek Irrigation District,San Bernardino Valley Municipal Water District,San Gabriel Valley Municipal Water District,San Gorgonio Pass Water Agency,Ventura County Watershed Protection District
1954,0,33925,27081,61689,14155,6097,7499,30396,99666,77475,81988,10335,30109,3894,5564,55388,1669,2308,1292,15000,85183,2701,75000,26617,26617,157000,0,5111,136892,8447,41951,89611,52036,85211,3676,32366,1656911,52474,14956,62181,18252,10964,12636
1955,0,32222,25550,53872,15422,3659,5632,27045,91110,73335,76053,7730,22614,5222,7460,45908,2238,1913,1071,14925,59413,2239,0,19312,19312,175000,0,6190,133942,8447,14524,53783,41241,55090,2206,23256,1333230,31494,8977,41622,11582,6580,9282
1956,0,34000,27098,62000,16208,8568,7550,38074,100000,76157,82200,10361,37772,7000,10000,59286,3000,2470,1383,20000,111527,2891,75000,35071,35071,149000,0,8297,208498,8447,60483,126940,63461,114406,5166,39056,1990377,73747,21020,81229,25024,15409,16094
1957,0,32658,25956,55876,14945,4322,6112,27051,93304,74128,77576,8417,21347,5250,7500,59524,2250,2480,1389,15000,61372,2903,75000,19871,19871,157000,0,5846,133025,8447,27808,63533,39472,70980,2606,30072,1247366,37203,10604,55343,12940,7773,9270
1958,0,33977,26822,61906,13198,9620,7534,38734,99899,76157,82136,10355,47510,6981,9973,59286,2992,2470,1383,20000,133893,2891,75000,43000,43000,149000,0,8243,216147,8447,70248,129931,80389,128450,5800,43850,2077195,82800,23600,91200,28800,17300,18357
1959,0,32588,25869,55545,17172,5069,6027,28737,92940,63792,77319,8272,25033,5250,7500,47915,2250,1996,1118,15000,70606,2337,75000,22130,22130,162000,41385,5832,136574,8447,33642,74504,42991,78703,3056,31714,1450775,43628,12435,58366,15175,9115,10437
1960,0,31989,25385,52830,15292,3462,5403,24447,89976,66164,75283,7448,17096,4998,7140,33269,2142,1386,776,14167,48516,1622,0,15113,15113,175000,61907,5847,120095,8447,12712,50881,29781,49784,2087,20061,1027097,29795,8492,36919,10363,6225,7223
1961,0,32229,25570,53912,16300,3693,5648,27143,91155,62587,76090,7766,18238,5232,7474,17450,2242,727,407,14907,51627,851,0,16123,16123,175000,61709,5654,119719,8447,13843,54281,31607,53110,2227,21401,1084711,31785,9060,39386,11056,6641,7664
1962,0,33108,26356,57941,15765,5982,6607,34054,95565,82780,79146,9102,33411,5250,7500,59524,2250,2480,1389,15000,90651,2903,0,28893,28893,162000,44213,6223,154971,8447,42210,87920,59790,84328,3606,32626,1810179,51483,14674,61842,18433,10757,13859
1963,0,34000,27099,62000,12507,6488,7550,31585,100000,76225,82200,10370,28174,5296,7565,59524,2270,2480,1389,15334,84803,2903,0,25549,25549,149000,0,6274,154425,8447,44103,95371,49564,89670,3912,32605,1504138,55847,15918,64822,18899,11668,12376
1964,0,32024,25382,52968,17841,4952,5419,32415,90122,70564,75370,7443,25094,5024,7178,40187,2153,1674,938,14343,71023,1960,0,22147,22147,175000,25950,5955,137762,8447,20237,72793,46823,76527,2986,33234,1447976,42626,12149,58631,14924,8906,10696
1965,0,33050,26363,57673,16158,6723,6541,34171,95271,73967,78940,9112,34333,6081,8686,59524,2606,2480,1389,17224,95722,2903,75000,30301,30301,149000,0,7115,173310,8447,47300,98822,58067,89771,4054,30646,1728094,57867,16494,63738,20298,12091,14253
1966,0,33407,26585,59288,17860,6599,6910,33909,97033,76319,80149,9491,32591,5784,8262,57744,2479,2406,1347,16466,91690,2816,0,28811,28811,162000,0,6813,166606,8447,45918,96997,53538,95660,3979,37012,1653739,56799,16189,71090,19756,11867,13524
1967,0,34000,27101,62000,12630,8602,7550,37300,100000,71116,82200,10370,40717,7000,10000,58929,3000,2455,1375,20000,117635,2874,75000,36081,36081,149000,0,8297,207075,8447,61691,118271,72329,121019,5186,44567,1956404,74037,21102,88467,25483,15469,16163
1968,0,32477,25784,55041,16041,5287,5912,35105,92390,77962,76942,8130,28442,5250,7500,40621,2250,1693,948,15000,78561,1981,75000,25029,25029,162000,31208,6223,146712,8447,36206,77712,51156,82595,3188,33283,1674641,45506,12970,61252,16183,9508,11924
1969,0,34000,27099,62000,15706,9620,7550,38908,100000,80398,82200,10370,49259,7000,10000,59524,3000,2480,1389,20000,136360,2903,75000,42987,42987,149000,0,8297,217236,8447,70681,141400,82886,128450,5800,43850,2525120,82800,23600,91200,29000,17300,20252
1970,0,32250,25580,54000,16442,6992,5662,39101,91250,70639,76150,7777,34013,5250,7500,59881,2250,2495,1397,15000,96962,2920,75000,30121,30121,149000,0,6223,161725,8447,49037,102777,59349,103264,4216,41370,1729541,60183,17154,77514,20858,12575,14373
1971,0,33111,26358,57950,17247,6337,6604,35128,95573,78392,79148,9103,27739,5250,7500,59202,2250,2467,1381,15000,82765,2887,75000,25142,25142,149000,0,6223,152407,8447,42904,93151,46640,94165,3821,38197,1520789,54547,15547,70910,18494,11397,12016
1972,0,32250,25578,54000,17414,4077,5662,30301,91250,72622,76150,7777,22213,5250,7500,46758,2250,1948,1091,15000,61417,2280,75000,21535,21535,162000,0,6223,141890,8447,26419,59923,42031,62803,2458,27169,1330743,35089,10001,48010,12521,7331,9399
1973,0,33996,27101,61985,15539,7567,7547,38415,99983,84252,82190,10369,39564,6115,8736,59346,2621,2473,1385,17408,108674,2894,75000,35378,35378,157000,0,7198,187839,8447,54310,112230,66611,101043,4562,34494,2008331,65133,18565,71741,22920,13609,16217
1974,0,34000,27098,62000,13634,7105,7550,35445,100000,72061,82200,10362,30819,6276,8966,58572,2690,2440,1367,17849,92416,2856,75000,27944,27944,149000,0,7380,176394,8447,48902,104432,52640,102655,4284,39531,1575172,61152,17430,76159,20689,12777,13418
1975,0,34000,27103,62000,14837,6862,7550,32631,100000,76157,82200,10370,33890,5641,8059,58572,2418,2440,1367,16074,95532,2856,75000,29960,29960,149000,0,6655,167065,8447,48066,100864,58031,98938,4137,37894,1685758,59063,16834,73312,20544,12340,14115
1976,0,30953,24447,48072,20583,3033,4264,21148,84766,52739,71667,5856,14978,3953,5647,29524,1694,1230,689,11249,42141,1440,75000,13241,13241,175000,41215,4686,98929,7627,7473,44578,25754,50678,1829,23912,912201,26103,7440,40316,9079,5454,6213
1977,0,29165,18800,36364,17693,2058,2207,12217,51998,58641,59141,5181,10478,3500,5000,15000,1500,625,350,10000,30180,732,0,9252,9252,184000,61907,4149,81384,6158,5147,30253,20866,29600,1241,11928,620303,17715,5049,21951,6212,3701,4649
1978,0,33904,27078,61600,14111,7820,7484,36691,99571,78246,81928,10330,38305,6919,9884,58929,2965,2455,1375,19560,108087,2874,0,33873,33873,157000,0,8068,197027,8447,55641,114937,63953,104410,4715,35643,1893192,67304,19183,74132,23360,14062,15906
1979,0,32234,25563,53933,14651,6821,5651,34426,91178,76335,76104,7754,35693,5236,7481,59346,2244,2473,1385,14926,99782,2894,75000,31455,31455,175000,0,6185,161792,8447,29726,100254,63183,99119,4112,38524,1800220,58706,16733,73762,20725,12266,15115
1980,0,33394,26561,59228,15147,9403,6896,38315,96968,71769,80104,9448,44430,6394,9134,59524,2740,2480,1389,18540,127277,2903,75000,39376,39376,157000,0,7579,202424,8447,67903,138212,76057,131530,5669,48586,2248495,80933,23068,96026,27845,16910,18634
1981,0,32250,25578,54000,14597,3643,5663,28997,91250,78088,76150,7778,22172,5250,7500,53590,2250,2233,1250,15000,58537,2613,75000,18953,18953,175000,25950,5629,122429,8447,14378,53548,40296,59106,2196,23817,1245213,31356,8937,43833,11481,6551,9119
1982,0,34000,27104,62000,11591,9620,7550,41178,100000,84541,82200,10379,48417,7000,10000,59941,3000,2498,1399,20000,136363,2923,75000,44120,44120,149000,0,8297,225058,8447,70651,143400,84571,130450,5800,48850,2481353,82800,23600,91200,28921,17300,20376
1983,0,34000,27066,62000,12997,9620,7550,42857,100000,83592,82200,10353,47737,7000,10000,59524,3000,2480,1389,20000,135001,2903,75000,45145,45145,149000,0,8297,227460,8447,70426,142400,82972,128897,5800,51527,2505984,82800,23600,99522,28828,17300,20084
1984,0,33844,26966,61288,16991,8340,7382,40452,99221,83918,81662,10139,35874,6844,9778,59346,2933,2473,1385,19566,107795,2894,75000,33580,33580,149000,0,7338,191736,8447,58537,123585,62655,111358,5028,40587,1926402,71782,20460,79065,24244,14998,15594
1985,0,32250,25576,54000,15163,6694,5663,34190,91250,64624,76150,7771,33057,5250,7500,54615,2250,2276,1274,15000,80577,2663,75000,29223,29223,162000,0,6223,159094,8447,24115,67269,54501,97957,4036,38541,1619993,57612,11051,73171,20039,12037,12589
1986,0,32250,25572,54000,15122,8024,5663,36356,91250,65345,76150,7765,39630,5250,7500,59286,2250,2470,1383,15000,112237,2891,75000,35034,35034,149000,0,6223,172929,8447,57496,105754,68759,107726,4838,36811,1796811,69067,19686,76504,24023,14431,15467
1987,0,31291,24781,49633,16555,1803,4646,15443,84662,59619,72862,6425,8903,4298,6139,37760,1842,1573,881,12197,25424,1841,75000,7870,7870,175000,41385,5031,91101,4862,4458,26497,15727,26506,1087,10681,537605,15516,4422,19657,5397,3242,3812
1988,0,30500,24056,46000,16530,1856,3775,15599,82500,48097,70100,5189,9165,3500,5000,26776,1500,1116,625,10000,25910,1306,0,8102,8102,184000,61907,4149,78967,4774,4578,27276,15793,26688,1119,10754,553423,15972,4552,19792,5556,3337,3840
